k,alpha0.01beta0.20,alpha0.05beta0.20,alpha0.10beta0.20,alpha0.01beta0.10,alpha0.05beta0.10,alpha0.10beta0.10
1,1,1,1,1,1,1
2,1.001,1.008,1.016,1.001,1.007,1.014
3,1.007,1.017,1.027,1.006,1.016,1.025
4,1.011,1.024,1.035,1.01,1.022,1.032
5,1.015,1.028,1.04,1.014,1.026,1.037
6,1.017,1.032,1.044,1.016,1.03,1.041
7,1.019,1.035,1.047,1.018,1.032,1.044
8,1.021,1.037,1.049,1.02,1.034,1.046
9,1.022,1.038,1.051,1.021,1.036,1.048
10,1.024,1.04,1.053,1.022,1.037,1.049
11,1.025,1.041,1.054,1.023,1.039,1.051
12,1.026,1.042,1.055,1.024,1.04,1.052
15,1.028,1.045,1.058,1.026,1.042,1.054
20,1.03,1.047,1.061,1.029,1.045,1.057
