k,delta0.01beta0.20,delta0.05beta0.20,delta0.10beta0.20,delta0.01beta0.10,delta0.05beta0.10,delta0.10beta0.10
1,1,1,1,1,1,1
2,1.016,1.038,1.075,1.014,1.034,1.068
3,1.027,1.054,1.108,1.025,1.05,1.099
4,1.035,1.065,1.128,1.032,1.059,1.117
5,1.04,1.072,1.142,1.037,1.066,1.129
6,1.044,1.077,1.152,1.041,1.071,1.138
7,1.047,1.081,1.159,1.044,1.075,1.145
8,1.05,1.084,1.165,1.046,1.078,1.151
9,1.052,1.087,1.17,1.048,1.081,1.155
10,1.054,1.089,1.175,1.05,1.083,1.159
11,1.055,1.091,1.178,1.051,1.085,1.163
12,1.056,1.093,1.181,1.053,1.086,1.166
15,1.059,1.097,1.189,1.055,1.09,1.172
20,1.062,1.101,1.197,1.058,1.094,1.18
